Sequence_ID,Organism,Clone,Host,Isolation source,Country
Seq1,uncultured Bartonella sp.,Eh6-0110-R12,Eidolon helvum,Blood,Ghana
Seq2,uncultured Bartonella sp.,Eh6-0710-A106,Eidolon helvum,Blood,Ghana
Seq3,uncultured Bartonella sp.,Eh6-0910-A106,Eidolon helvum,Blood,Ghana
Seq4,uncultured Bartonella sp.,Eh6-1109-Q131,Eidolon helvum,Blood,Ghana
Seq5,uncultured Bartonella sp.,Eh6-1109-Q135,Eidolon helvum,Blood,Ghana
Seq6,uncultured Bartonella sp.,Eh6-1110-A106,Eidolon helvum,Blood,Ghana
