Date,Day,E1,E2,E3,E4,E5,Ew,Eh6,Eh7
7/28/2009,0,0,0,6,3,1,3,0,0
11/5/2009,100,0,0,5,4,3,2,2,0
1/28/2010,184,3,3,24,10,12,31,6,3
3/6/2010,221,3,5,12,15,7,32,3,2
5/21/2010,297,0,0,3,10,1,24,6,1
7/14/2010,351,1,1,4,8,4,28,5,1
9/23/2010,422,0,0,4,2,12,23,8,0
11/5/2010,465,1,2,4,2,5,27,6,0
3/4/2011,584,0,0,2,1,0,4,3,0
7/13/2011,715,3,0,2,3,2,9,1,0
1/17/2012,903,6,6,7,2,11,6,0,0
1/31/2012,917,8,8,8,0,12,11,0,0
2/14/2012,931,7,3,5,4,13,9,0,0
3/15/2012,961,2,5,17,0,16,11,1,0
