Date,Day,Group,one,two,three,four,total,pos,prev.mean,prev.lower,prev.upper,mixed,mixed.mean,mixed.lower,mixed.upper
2010-03-11,226,captive flies,0.857142857,0.821428571,0.642857143,0.607142857,28,24,0.857142857,0.685101978,0.943009947,2,0.071428571,0.019812064,0.226453626
2012-01-22,908,wild flies,0.777777778,0.666666667,0.611111111,0.611111111,18,14,0.777777778,0.547854157,0.909990719,5,0.277777778,0.124997534,0.508726566
2012-01-12,898,wild bats,0.94,0.84,0.66,0.42,50,47,0.94,0.837829083,0.97938503,28,0.56,0.42306028,0.688378008
