Date,Day,Group,E1,E2,E3,E4,E5,Ew,Eh6,Eh7
3/6/2010,221,captive flies,0,3,4,0,19,35,0,1
1/22/2012,893,wild flies,1,5,3,13,14,0,0,0
1/12/2012,913,wild bats,1,7,21,9,25,42,5,6
