Group,E1,E2,E3,E4,E5,Ew,Eh6,Eh7
before flies,0.02600472813,0.02600472813,0.1560283688,0.1371158392,0.1111111111,0.4326241135,0.09456264775,0.01654846336
with flies,0.1292134831,0.1235955056,0.2078651685,0.03370786517,0.2921348315,0.2078651685,0.005617977528,0
